ID_produktu	ID_komponenty	Mnozstvi
ND101	KO043	2
ND101	KO124	1
ND101	KO193	3
ND101	KO120	1
ND102	KO160	1
ND102	KO167	2
ND103	KO136	1
ND103	KO145	2
ND103	KO038	2
ND103	KO155	1
ND103	KO052	2
ND104	KO168	2
ND104	KO190	1
ND104	KO064	1
ND105	KO195	2
ND105	KO111	3
ND105	KO135	3
ND106	KO028	3
ND106	KO040	2
ND106	KO094	1
ND106	KO019	2
ND107	KO029	2
ND107	KO021	3
ND108	KO108	2
ND108	KO196	3
ND109	KO060	3
ND109	KO182	2
ND109	KO132	3
ND109	KO034	2
ND110	KO147	1
ND110	KO172	1
ND110	KO064	3
ND110	KO132	2
ND110	KO128	1
ND111	KO127	3
ND111	KO151	3
ND111	KO202	3
ND112	KO159	1
ND112	KO020	1
ND113	KO142	2
ND113	KO090	1
ND114	KO087	3
ND114	KO018	3
ND114	KO203	1
ND115	KO164	3
ND115	KO037	1
ND115	KO073	2
ND116	KO142	2
ND116	KO042	2
ND116	KO148	1
ND116	KO040	2
ND117	KO174	2
ND117	KO018	1
ND117	KO043	1
ND117	KO054	2
ND118	KO129	3
ND118	KO134	1
ND119	KO111	1
ND119	KO177	2
ND119	KO089	2
ND119	KO044	3
ND119	KO182	1
ND120	KO146	1
ND120	KO195	3
ND120	KO031	2
ND121	KO070	2
ND121	KO012	2
ND122	KO044	3
ND122	KO001	1
ND122	KO064	2
ND122	KO171	2
ND123	KO083	3
ND123	KO169	2
ND124	KO195	3
ND124	KO134	1
ND124	KO044	1
ND124	KO078	1
