ID_produktu;ID_zavodu;Datum;Mnozstvi
ND102;ZP30;3.3.2017;25
ND123;ZP10;14.5.2018;16
ND112;ZP30;10.2.2017;29
ND118;ZP20;8.8.2018;1
ND119;ZP20;14.1.2018;16
ND124;ZP20;8.5.2017;16
ND117;ZP20;21.10.2017;6
ND108;ZP30;27.3.2017;19
ND117;ZP30;18.8.2017;17
ND120;ZP10;13.7.2018;26
ND107;ZP10;11.6.2018;28
ND124;ZP20;8.4.2017;12
ND106;ZP30;2.10.2017;17
ND111;ZP10;10.2.2018;20
ND111;ZP10;3.5.2017;9
ND109;ZP20;9.5.2017;9
ND120;ZP20;26.7.2017;1
ND115;ZP20;23.2.2017;6
ND117;ZP10;6.3.2018;6
ND103;ZP10;14.3.2018;24
ND118;ZP20;8.6.2018;23
ND102;ZP20;28.4.2018;18
ND110;ZP20;17.7.2018;16
ND115;ZP20;22.8.2018;13
ND118;ZP10;24.5.2017;19
ND105;ZP20;11.5.2018;17
ND119;ZP30;22.1.2017;10
ND113;ZP20;24.9.2017;20
ND119;ZP30;25.2.2017;17
ND109;ZP30;29.5.2018;6
ND105;ZP20;8.3.2017;22
ND110;ZP20;19.8.2017;8
ND112;ZP20;25.3.2018;7
ND121;ZP10;5.3.2018;1
ND110;ZP10;2.6.2018;21
ND113;ZP30;1.2.2017;20
ND115;ZP30;16.11.2017;19
ND103;ZP20;9.10.2017;27
ND115;ZP30;29.8.2017;13
ND113;ZP30;15.4.2017;3
ND103;ZP10;6.9.2017;26
ND118;ZP20;11.4.2018;22
ND118;ZP30;17.10.2017;23
ND121;ZP20;19.7.2018;24
ND116;ZP20;29.7.2017;9
ND123;ZP10;12.3.2017;21
ND112;ZP10;17.7.2017;1
ND117;ZP20;5.7.2018;6
ND109;ZP30;22.8.2017;3
ND123;ZP10;5.8.2017;20
ND116;ZP10;23.10.2017;22
ND114;ZP10;9.3.2018;26
ND118;ZP20;17.10.2017;11
ND112;ZP30;31.1.2018;4
ND112;ZP20;23.7.2018;8
ND113;ZP10;1.6.2018;4
ND108;ZP30;2.2.2018;14
ND112;ZP10;8.12.2017;26
ND123;ZP10;14.3.2018;20
ND101;ZP20;15.8.2017;9
ND123;ZP10;14.2.2017;8
ND105;ZP30;8.11.2017;8
ND123;ZP10;9.10.2017;21
ND122;ZP10;3.2.2017;6
ND112;ZP30;9.7.2018;26
ND118;ZP30;15.4.2017;25
ND115;ZP30;1.3.2017;18
ND118;ZP30;19.10.2017;3
ND114;ZP10;15.2.2017;28
ND119;ZP10;15.11.2017;18
ND117;ZP10;23.8.2018;19
ND119;ZP20;14.8.2018;11
ND123;ZP30;4.6.2017;2
ND113;ZP20;13.5.2017;12
ND118;ZP20;27.6.2018;27
ND123;ZP10;2.6.2018;25
ND101;ZP20;4.11.2017;11
ND108;ZP20;8.1.2017;22
ND120;ZP20;5.2.2018;2
ND104;ZP20;18.3.2017;19
ND108;ZP10;25.2.2018;9
ND103;ZP20;2.5.2017;15
ND110;ZP20;7.1.2017;11
ND112;ZP30;20.4.2017;21
ND109;ZP30;20.5.2018;23
ND120;ZP30;6.8.2018;7
ND119;ZP20;12.3.2017;10
ND104;ZP20;8.7.2018;24
ND120;ZP10;19.4.2017;11
ND119;ZP10;22.12.2017;30
ND122;ZP30;12.4.2017;25
